lead_id,date,ad_id,campaign_id,platform,call_booked,call_completed,sale_won,sale_value,rep_id,country
L000061,2026-04-17,C002-AD01,C002,Facebook,1,0,0,0.0,R04,USA
L000062,2026-04-17,C002-AD01,C002,Facebook,1,0,0,0.0,R02,UAE
L000063,2026-04-17,C002-AD01,C002,Facebook,1,1,0,0.0,R01,USA
L000064,2026-04-17,C002-AD01,C002,Facebook,1,1,0,0.0,R03,India
L000065,2026-04-17,C002-AD01,C002,Facebook,1,0,0,0.0,R02,Singapore
L000066,2026-04-17,C002-AD01,C002,Facebook,0,0,0,0.0,,USA
L000067,2026-04-17,C002-AD01,C002,Facebook,1,1,0,0.0,R03,UK
L000068,2026-04-17,C002-AD01,C002,Facebook,1,1,0,0.0,R02,USA
L000069,2026-04-17,C002-AD01,C002,Facebook,1,1,0,0.0,R02,USA
L000070,2026-04-17,C002-AD01,C002,Facebook,1,0,0,0.0,R03,Singapore
L000071,2026-04-17,C002-AD01,C002,Facebook,1,0,0,0.0,R03,Singapore
L000072,2026-04-17,C002-AD01,C002,Facebook,1,1,0,0.0,R03,Singapore
L000073,2026-04-17,C002-AD01,C002,Facebook,1,1,0,0.0,R02,Singapore
L000074,2026-04-17,C002-AD01,C002,Facebook,1,1,0,0.0,R03,USA
L000075,2026-04-17,C002-AD01,C002,Facebook,1,0,0,0.0,R03,UK
L000076,2026-04-17,C002-AD01,C002,Facebook,1,1,0,0.0,R02,India
L000077,2026-04-17,C002-AD01,C002,Facebook,1,1,0,0.0,R01,UAE
L000078,2026-04-17,C002-AD01,C002,Facebook,1,1,0,0.0,R01,India
L000079,2026-04-17,C002-AD01,C002,Facebook,1,1,0,0.0,R01,UK
L000080,2026-04-17,C002-AD01,C002,Facebook,1,1,0,0.0,R04,UK
L000081,2026-04-17,C002-AD01,C002,Facebook,1,1,0,0.0,R01,UK
L000082,2026-04-17,C002-AD02,C002,Facebook,0,0,0,0.0,,UK
L000083,2026-04-17,C002-AD02,C002,Facebook,1,1,0,0.0,R04,UAE
L000084,2026-04-17,C002-AD02,C002,Facebook,0,0,0,0.0,,Singapore
L000085,2026-04-17,C002-AD02,C002,Facebook,0,0,0,0.0,,Singapore
L000086,2026-04-17,C002-AD02,C002,Facebook,1,0,0,0.0,R04,Singapore
L000087,2026-04-17,C002-AD02,C002,Facebook,0,0,0,0.0,,Singapore
L000088,2026-04-17,C002-AD02,C002,Facebook,1,0,0,0.0,R04,UAE
L000089,2026-04-17,C003-AD01,C003,Instagram,1,1,0,0.0,R04,UAE
L000090,2026-04-17,C003-AD01,C003,Instagram,1,1,0,0.0,R03,USA
L000091,2026-04-17,C003-AD01,C003,Instagram,1,1,1,31188.3,R02,UAE
L000092,2026-04-17,C003-AD01,C003,Instagram,1,1,0,0.0,R04,India
L000093,2026-04-17,C003-AD01,C003,Instagram,1,1,0,0.0,R01,Singapore
L000094,2026-04-17,C003-AD01,C003,Instagram,1,1,0,0.0,R04,UK
L000095,2026-04-17,C003-AD01,C003,Instagram,1,0,0,0.0,R02,UK
L000096,2026-04-17,C003-AD01,C003,Instagram,1,1,1,38529.07,R04,UAE
L000097,2026-04-17,C003-AD01,C003,Instagram,0,0,0,0.0,,UAE
L000098,2026-04-17,C003-AD01,C003,Instagram,0,0,0,0.0,,Singapore
L000099,2026-04-17,C003-AD01,C003,Instagram,1,1,0,0.0,R01,India
L000100,2026-04-17,C003-AD01,C003,Instagram,1,1,0,0.0,R01,USA
L000101,2026-04-17,C003-AD01,C003,Instagram,1,1,0,0.0,R04,USA
L000102,2026-04-17,C003-AD01,C003,Instagram,0,0,0,0.0,,UK
L000103,2026-04-17,C003-AD01,C003,Instagram,1,1,1,52759.33,R03,UAE
L000104,2026-04-17,C003-AD01,C003,Instagram,1,0,0,0.0,R01,India
L000105,2026-04-17,C003-AD01,C003,Instagram,0,0,0,0.0,,UAE
L000106,2026-04-17,C003-AD02,C003,Instagram,1,1,1,81342.99,R04,USA
L000107,2026-04-17,C003-AD02,C003,Instagram,0,0,0,0.0,,UAE
L000108,2026-04-17,C003-AD02,C003,Instagram,1,0,0,0.0,R01,UAE
L000109,2026-04-17,C003-AD02,C003,Instagram,0,0,0,0.0,,India
L000110,2026-04-17,C003-AD02,C003,Instagram,1,0,0,0.0,R04,UK
L000111,2026-04-17,C003-AD02,C003,Instagram,0,0,0,0.0,,UAE
L000112,2026-04-17,C003-AD02,C003,Instagram,1,1,0,0.0,R01,USA
L000113,2026-04-17,C003-AD02,C003,Instagram,0,0,0,0.0,,Singapore
L000114,2026-04-17,C003-AD02,C003,Instagram,0,0,0,0.0,,Singapore
L000115,2026-04-17,C003-AD02,C003,Instagram,0,0,0,0.0,,USA
L000116,2026-04-17,C003-AD02,C003,Instagram,1,1,1,60328.03,R01,UK
L000117,2026-04-17,C003-AD02,C003,Instagram,0,0,0,0.0,,India
L000118,2026-04-17,C003-AD02,C003,Instagram,1,1,0,0.0,R04,UAE
L000119,2026-04-17,C003-AD02,C003,Instagram,1,0,0,0.0,R03,Singapore
L000120,2026-04-17,C003-AD03,C003,Instagram,1,1,0,0.0,R03,USA
L000121,2026-04-17,C003-AD03,C003,Instagram,0,0,0,0.0,,India
L000122,2026-04-17,C003-AD03,C003,Instagram,1,1,0,0.0,R04,USA
L000123,2026-04-17,C003-AD03,C003,Instagram,1,0,0,0.0,R02,UK
L000124,2026-04-17,C003-AD03,C003,Instagram,1,0,0,0.0,R03,USA
L000125,2026-04-17,C003-AD03,C003,Instagram,0,0,0,0.0,,USA
L000126,2026-04-17,C003-AD03,C003,Instagram,1,1,0,0.0,R02,UK
L000127,2026-04-17,C003-AD03,C003,Instagram,1,0,0,0.0,R04,UK
L000128,2026-04-17,C003-AD03,C003,Instagram,1,1,0,0.0,R04,UAE
L000129,2026-04-17,C003-AD04,C003,Instagram,1,1,0,0.0,R03,USA
L000130,2026-04-17,C003-AD04,C003,Instagram,0,0,0,0.0,,USA
L000131,2026-04-17,C003-AD04,C003,Instagram,1,1,0,0.0,R03,India
L000132,2026-04-17,C003-AD04,C003,Instagram,0,0,0,0.0,,UAE
L000133,2026-04-17,C003-AD04,C003,Instagram,1,0,0,0.0,R03,Singapore
L000134,2026-04-17,C003-AD04,C003,Instagram,0,0,0,0.0,,Singapore
L000135,2026-04-17,C003-AD04,C003,Instagram,1,0,0,0.0,R02,USA
L000136,2026-04-17,C003-AD04,C003,Instagram,1,1,1,52389.46,R03,India
L000137,2026-04-17,C003-AD04,C003,Instagram,0,0,0,0.0,,Singapore
L000138,2026-04-17,C003-AD04,C003,Instagram,1,0,0,0.0,R04,India
L000139,2026-04-17,C003-AD04,C003,Instagram,0,0,0,0.0,,Singapore
L000140,2026-04-17,C003-AD04,C003,Instagram,1,1,0,0.0,R01,USA
L000141,2026-04-17,C003-AD04,C003,Instagram,0,0,0,0.0,,UK
L000142,2026-04-17,C003-AD04,C003,Instagram,1,1,0,0.0,R01,UAE
L000143,2026-04-17,C003-AD04,C003,Instagram,1,1,0,0.0,R02,India
L000144,2026-04-17,C004-AD01,C004,Google,1,1,0,0.0,R04,UK
L000145,2026-04-17,C004-AD01,C004,Google,0,0,0,0.0,,USA
L000146,2026-04-17,C004-AD01,C004,Google,0,0,0,0.0,,UK
L000147,2026-04-17,C004-AD01,C004,Google,1,1,0,0.0,R01,UAE
L000148,2026-04-17,C004-AD01,C004,Google,1,1,1,31790.56,R01,UAE
L000149,2026-04-17,C004-AD01,C004,Google,1,1,0,0.0,R03,India
L000150,2026-04-17,C004-AD01,C004,Google,1,1,0,0.0,R04,India
L000151,2026-04-17,C004-AD01,C004,Google,0,0,0,0.0,,USA
L000152,2026-04-17,C004-AD01,C004,Google,0,0,0,0.0,,Singapore
L000153,2026-04-17,C004-AD01,C004,Google,1,0,0,0.0,R04,India
L000154,2026-04-17,C004-AD01,C004,Google,1,1,0,0.0,R02,India
L000155,2026-04-17,C004-AD01,C004,Google,1,0,0,0.0,R03,UK
L000156,2026-04-17,C004-AD02,C004,Google,0,0,0,0.0,,USA
L000157,2026-04-17,C004-AD02,C004,Google,1,1,1,17790.25,R04,USA
L000158,2026-04-17,C004-AD02,C004,Google,1,1,0,0.0,R01,USA
L000159,2026-04-17,C004-AD02,C004,Google,1,0,0,0.0,R02,UK
L000160,2026-04-17,C004-AD02,C004,Google,1,1,0,0.0,R04,UK
L000161,2026-04-17,C004-AD02,C004,Google,0,0,0,0.0,,UK
L000162,2026-04-17,C004-AD02,C004,Google,1,1,0,0.0,R02,USA
L000163,2026-04-17,C004-AD02,C004,Google,1,1,0,0.0,R04,Singapore
L000164,2026-04-17,C004-AD02,C004,Google,1,1,0,0.0,R01,UK
L000165,2026-04-17,C004-AD02,C004,Google,0,0,0,0.0,,India
L000166,2026-04-17,C004-AD02,C004,Google,1,1,0,0.0,R02,Singapore
L000167,2026-04-17,C004-AD02,C004,Google,1,0,0,0.0,R04,India
L000168,2026-04-17,C004-AD02,C004,Google,1,1,0,0.0,R04,UK
L000169,2026-04-17,C004-AD02,C004,Google,1,0,0,0.0,R02,UAE
L000170,2026-04-17,C004-AD02,C004,Google,1,1,0,0.0,R02,India
L000171,2026-04-17,C004-AD02,C004,Google,1,1,0,0.0,R04,USA
L000172,2026-04-17,C004-AD02,C004,Google,1,1,0,0.0,R04,UAE
L000173,2026-04-17,C004-AD02,C004,Google,1,1,1,56956.43,R02,India
L000174,2026-04-17,C004-AD02,C004,Google,1,0,0,0.0,R04,USA
L000175,2026-04-17,C004-AD02,C004,Google,0,0,0,0.0,,Singapore
L000176,2026-04-17,C004-AD02,C004,Google,1,1,0,0.0,R04,UAE
L000177,2026-04-17,C004-AD02,C004,Google,1,1,0,0.0,R04,UK
L000178,2026-04-17,C004-AD02,C004,Google,0,0,0,0.0,,UAE
L000179,2026-04-17,C004-AD02,C004,Google,0,0,0,0.0,,UAE
L000180,2026-04-17,C005-AD01,C005,Google,0,0,0,0.0,,India
L000181,2026-04-17,C005-AD01,C005,Google,1,1,0,0.0,R04,UK
L000182,2026-04-17,C005-AD01,C005,Google,0,0,0,0.0,,UAE
L000183,2026-04-17,C005-AD01,C005,Google,1,1,0,0.0,R03,India
L000184,2026-04-17,C005-AD01,C005,Google,0,0,0,0.0,,UK
L000185,2026-04-17,C005-AD01,C005,Google,1,0,0,0.0,R01,UAE
L000186,2026-04-17,C005-AD01,C005,Google,1,1,0,0.0,R04,USA
L000187,2026-04-17,C005-AD01,C005,Google,1,1,0,0.0,R03,Singapore
L000188,2026-04-17,C005-AD01,C005,Google,1,1,0,0.0,R04,Singapore
L000189,2026-04-17,C005-AD01,C005,Google,1,1,0,0.0,R03,UAE
L000190,2026-04-17,C005-AD01,C005,Google,0,0,0,0.0,,UK
L000191,2026-04-17,C005-AD01,C005,Google,0,0,0,0.0,,India
L000192,2026-04-17,C005-AD01,C005,Google,1,1,0,0.0,R01,USA
L000193,2026-04-17,C005-AD01,C005,Google,0,0,0,0.0,,USA
L000194,2026-04-17,C005-AD01,C005,Google,1,1,0,0.0,R04,Singapore
L000195,2026-04-17,C005-AD01,C005,Google,0,0,0,0.0,,UAE
L000196,2026-04-17,C005-AD01,C005,Google,1,1,0,0.0,R02,UK
L000197,2026-04-17,C005-AD01,C005,Google,0,0,0,0.0,,UAE
L000198,2026-04-17,C005-AD01,C005,Google,1,1,0,0.0,R01,UK
L000199,2026-04-17,C005-AD01,C005,Google,0,0,0,0.0,,Singapore
L000200,2026-04-17,C005-AD01,C005,Google,1,1,0,0.0,R03,UK
L000201,2026-04-17,C005-AD02,C005,Google,1,0,0,0.0,R04,India
L000202,2026-04-17,C005-AD02,C005,Google,1,1,0,0.0,R03,India
L000203,2026-04-17,C005-AD02,C005,Google,0,0,0,0.0,,UK
L000204,2026-04-17,C005-AD02,C005,Google,1,1,0,0.0,R01,Singapore
L000205,2026-04-17,C005-AD02,C005,Google,0,0,0,0.0,,USA
L000206,2026-04-17,C005-AD02,C005,Google,0,0,0,0.0,,UAE
L000207,2026-04-17,C005-AD02,C005,Google,1,1,0,0.0,R03,UAE
L000208,2026-04-17,C005-AD02,C005,Google,1,0,0,0.0,R01,USA
L000209,2026-04-17,C005-AD02,C005,Google,0,0,0,0.0,,India
L000210,2026-04-17,C005-AD02,C005,Google,1,0,0,0.0,R01,USA
L000211,2026-04-17,C005-AD02,C005,Google,1,1,0,0.0,R03,Singapore
L000212,2026-04-17,C005-AD02,C005,Google,1,1,1,78983.43,R04,USA
L000213,2026-04-17,C005-AD02,C005,Google,0,0,0,0.0,,USA
L000214,2026-04-17,C005-AD02,C005,Google,0,0,0,0.0,,UK
L000215,2026-04-17,C005-AD02,C005,Google,0,0,0,0.0,,UAE
L000216,2026-04-17,C005-AD02,C005,Google,0,0,0,0.0,,UAE
L000217,2026-04-17,C005-AD02,C005,Google,0,0,0,0.0,,UK
L000218,2026-04-17,C005-AD02,C005,Google,0,0,0,0.0,,Singapore
L000219,2026-04-17,C005-AD02,C005,Google,1,0,0,0.0,R01,USA
L000220,2026-04-17,C005-AD02,C005,Google,1,1,0,0.0,R03,Singapore
L000221,2026-04-17,C005-AD02,C005,Google,1,1,0,0.0,R02,UK
L000222,2026-04-17,C005-AD02,C005,Google,1,0,0,0.0,R03,Singapore
L000223,2026-04-17,C005-AD02,C005,Google,1,1,0,0.0,R03,UK
L000224,2026-04-17,C005-AD02,C005,Google,1,1,1,84714.92,R01,India
L000225,2026-04-17,C005-AD02,C005,Google,1,1,0,0.0,R03,Singapore
L000226,2026-04-17,C005-AD02,C005,Google,1,0,0,0.0,R02,UK
L000227,2026-04-17,C005-AD02,C005,Google,1,0,0,0.0,R04,USA
L000228,2026-04-17,C005-AD02,C005,Google,1,1,0,0.0,R02,USA
L000229,2026-04-17,C005-AD02,C005,Google,1,1,0,0.0,R03,India
L000230,2026-04-17,C005-AD02,C005,Google,1,1,1,74362.32,R04,India
L000231,2026-04-17,C005-AD02,C005,Google,1,1,0,0.0,R01,India
L000232,2026-04-17,C005-AD03,C005,Google,1,1,0,0.0,R02,Singapore
L000233,2026-04-17,C005-AD03,C005,Google,1,0,0,0.0,R03,UAE
L000234,2026-04-17,C005-AD03,C005,Google,0,0,0,0.0,,Singapore
L000235,2026-04-17,C005-AD03,C005,Google,1,0,0,0.0,R02,UAE
L000236,2026-04-17,C005-AD03,C005,Google,1,0,0,0.0,R01,India
L000237,2026-04-17,C005-AD03,C005,Google,1,1,0,0.0,R03,India
L000238,2026-04-17,C005-AD03,C005,Google,1,1,0,0.0,R01,India
L000239,2026-04-17,C005-AD03,C005,Google,1,0,0,0.0,R01,UK
L000240,2026-04-17,C005-AD03,C005,Google,1,0,0,0.0,R01,Singapore
L000241,2026-04-17,C005-AD03,C005,Google,1,1,1,84901.07,R04,UK
L000242,2026-04-17,C005-AD03,C005,Google,0,0,0,0.0,,UK
L000243,2026-04-17,C005-AD03,C005,Google,0,0,0,0.0,,UK
L000244,2026-04-17,C005-AD03,C005,Google,1,1,0,0.0,R01,UAE
L000245,2026-04-17,C005-AD03,C005,Google,1,1,0,0.0,R03,UK
L000246,2026-04-17,C005-AD03,C005,Google,0,0,0,0.0,,Singapore
L000247,2026-04-17,C005-AD03,C005,Google,1,1,0,0.0,R01,Singapore
L000248,2026-04-17,C005-AD03,C005,Google,0,0,0,0.0,,UAE
L000249,2026-04-17,C005-AD03,C005,Google,1,0,0,0.0,R04,USA
L000250,2026-04-17,C005-AD03,C005,Google,0,0,0,0.0,,UK
L000251,2026-04-17,C005-AD03,C005,Google,1,1,0,0.0,R03,USA
L000252,2026-04-17,C005-AD03,C005,Google,0,0,0,0.0,,UK
L000253,2026-04-17,C005-AD03,C005,Google,1,0,0,0.0,R01,UK
L000254,2026-04-17,C005-AD03,C005,Google,1,0,0,0.0,R02,Singapore
L000255,2026-04-17,C005-AD04,C005,Google,1,1,0,0.0,R04,India
L000256,2026-04-17,C005-AD04,C005,Google,0,0,0,0.0,,Singapore
L000257,2026-04-17,C005-AD04,C005,Google,1,1,0,0.0,R02,UK
L000258,2026-04-17,C005-AD04,C005,Google,1,1,0,0.0,R03,India
L000259,2026-04-17,C005-AD04,C005,Google,0,0,0,0.0,,Singapore
L000260,2026-04-17,C005-AD04,C005,Google,1,1,0,0.0,R01,Singapore
L000261,2026-04-17,C005-AD04,C005,Google,0,0,0,0.0,,USA
L000262,2026-04-17,C005-AD04,C005,Google,1,1,0,0.0,R03,USA
L000263,2026-04-17,C005-AD04,C005,Google,1,0,0,0.0,R04,India
L000264,2026-04-17,C005-AD04,C005,Google,1,1,1,67227.82,R02,UK
L000265,2026-04-17,C005-AD04,C005,Google,1,1,0,0.0,R03,Singapore
L000266,2026-04-17,C005-AD04,C005,Google,1,0,0,0.0,R02,UAE
L000267,2026-04-17,C005-AD04,C005,Google,0,0,0,0.0,,India
L000268,2026-04-17,C005-AD04,C005,Google,1,1,0,0.0,R04,Singapore
L000269,2026-04-17,C005-AD04,C005,Google,1,1,0,0.0,R01,USA
L000270,2026-04-17,C005-AD04,C005,Google,1,1,0,0.0,R04,Singapore
L000271,2026-04-17,C005-AD04,C005,Google,1,1,0,0.0,R01,India
L000272,2026-04-17,C005-AD04,C005,Google,1,0,0,0.0,R02,USA
L000273,2026-04-17,C005-AD04,C005,Google,1,1,0,0.0,R04,UAE
L000274,2026-04-17,C005-AD04,C005,Google,1,1,0,0.0,R03,India
L000275,2026-04-17,C005-AD04,C005,Google,1,0,0,0.0,R04,India
L000276,2026-04-17,C005-AD04,C005,Google,1,1,0,0.0,R04,Singapore
L000277,2026-04-17,C005-AD04,C005,Google,1,1,0,0.0,R04,India
L000278,2026-04-17,C005-AD04,C005,Google,0,0,0,0.0,,UAE
L000279,2026-04-17,C005-AD04,C005,Google,0,0,0,0.0,,Singapore
L000280,2026-04-17,C005-AD04,C005,Google,1,1,0,0.0,R04,India
L000281,2026-04-17,C005-AD04,C005,Google,1,1,0,0.0,R04,USA
L000282,2026-04-17,C005-AD04,C005,Google,0,0,0,0.0,,UAE
L000283,2026-04-17,C005-AD04,C005,Google,1,1,0,0.0,R01,Singapore
L000284,2026-04-17,C005-AD04,C005,Google,1,0,0,0.0,R03,USA
L000285,2026-04-17,C005-AD04,C005,Google,0,0,0,0.0,,UAE
L000286,2026-04-17,C005-AD04,C005,Google,1,1,0,0.0,R02,India
L000287,2026-04-17,C005-AD04,C005,Google,1,0,0,0.0,R04,UK
L000288,2026-04-17,C005-AD04,C005,Google,0,0,0,0.0,,Singapore
L000289,2026-04-17,C005-AD04,C005,Google,1,0,0,0.0,R03,USA
L000290,2026-04-17,C006-AD01,C006,TikTok,1,1,0,0.0,R01,USA
L000291,2026-04-17,C006-AD01,C006,TikTok,1,1,0,0.0,R01,USA
L000292,2026-04-17,C006-AD01,C006,TikTok,0,0,0,0.0,,India
L000293,2026-04-17,C006-AD01,C006,TikTok,1,0,0,0.0,R01,Singapore
L000294,2026-04-17,C006-AD01,C006,TikTok,1,1,0,0.0,R01,UK
L000295,2026-04-17,C006-AD01,C006,TikTok,0,0,0,0.0,,Singapore
L000296,2026-04-17,C006-AD01,C006,TikTok,1,1,0,0.0,R02,India
L000297,2026-04-17,C006-AD01,C006,TikTok,1,0,0,0.0,R03,India
L000298,2026-04-17,C006-AD01,C006,TikTok,1,1,0,0.0,R04,UK
L000299,2026-04-17,C006-AD02,C006,TikTok,1,0,0,0.0,R04,UK
L000300,2026-04-17,C006-AD02,C006,TikTok,0,0,0,0.0,,Singapore
L000301,2026-04-17,C006-AD02,C006,TikTok,1,1,0,0.0,R03,India
L000302,2026-04-17,C006-AD02,C006,TikTok,1,1,0,0.0,R02,USA
L000303,2026-04-17,C006-AD02,C006,TikTok,1,1,0,0.0,R03,UK
L000304,2026-04-17,C006-AD02,C006,TikTok,1,1,0,0.0,R04,USA
L000305,2026-04-17,C006-AD02,C006,TikTok,0,0,0,0.0,,Singapore
L000306,2026-04-17,C006-AD02,C006,TikTok,1,1,0,0.0,R01,USA
L000307,2026-04-17,C006-AD02,C006,TikTok,1,0,0,0.0,R03,UK
L000308,2026-04-17,C006-AD02,C006,TikTok,1,0,0,0.0,R02,India
L000309,2026-04-17,C006-AD02,C006,TikTok,1,0,0,0.0,R01,USA
L000310,2026-04-17,C006-AD02,C006,TikTok,0,0,0,0.0,,Singapore
L000311,2026-04-17,C006-AD02,C006,TikTok,1,1,0,0.0,R02,UK
L000312,2026-04-17,C006-AD02,C006,TikTok,1,1,0,0.0,R04,Singapore
L000313,2026-04-17,C006-AD02,C006,TikTok,1,0,0,0.0,R04,UAE
L000314,2026-04-17,C006-AD02,C006,TikTok,1,1,0,0.0,R04,UAE
L000315,2026-04-17,C006-AD02,C006,TikTok,1,0,0,0.0,R04,UK
L000316,2026-04-17,C006-AD02,C006,TikTok,0,0,0,0.0,,UK
L000317,2026-04-17,C006-AD03,C006,TikTok,1,1,0,0.0,R03,India
L000318,2026-04-17,C006-AD03,C006,TikTok,1,0,0,0.0,R01,Singapore
L000319,2026-04-17,C006-AD03,C006,TikTok,0,0,0,0.0,,USA
L000320,2026-04-17,C006-AD03,C006,TikTok,1,1,0,0.0,R02,UK
L000321,2026-04-17,C006-AD03,C006,TikTok,1,0,0,0.0,R04,USA
L000322,2026-04-17,C006-AD03,C006,TikTok,0,0,0,0.0,,UK
L000323,2026-04-17,C006-AD03,C006,TikTok,1,1,0,0.0,R01,USA
L000324,2026-04-17,C006-AD03,C006,TikTok,1,1,1,65029.3,R03,UAE
L000325,2026-04-17,C006-AD03,C006,TikTok,1,1,0,0.0,R02,UK
L000326,2026-04-17,C006-AD03,C006,TikTok,1,1,1,32914.67,R02,Singapore
L000327,2026-04-17,C006-AD03,C006,TikTok,0,0,0,0.0,,Singapore
L000328,2026-04-17,C006-AD03,C006,TikTok,1,1,0,0.0,R03,India
L000329,2026-04-17,C006-AD03,C006,TikTok,1,1,0,0.0,R04,India
L000330,2026-04-17,C006-AD03,C006,TikTok,1,0,0,0.0,R01,Singapore
L000331,2026-04-17,C007-AD02,C007,Referral,1,1,0,0.0,R04,UAE
L000332,2026-04-17,C008-AD01,C008,Email,0,0,0,0.0,,India
L000333,2026-04-17,C008-AD02,C008,Email,0,0,0,0.0,,Singapore
L000334,2026-04-17,C009-AD02,C009,Organic,1,1,0,0.0,R04,USA
L000335,2026-04-18,C001-AD01,C001,Facebook,0,0,0,0.0,,USA
L000336,2026-04-18,C001-AD01,C001,Facebook,1,1,1,55733.23,R03,UAE
L000337,2026-04-18,C001-AD01,C001,Facebook,1,1,0,0.0,R02,UK
L000338,2026-04-18,C001-AD01,C001,Facebook,0,0,0,0.0,,UK
L000339,2026-04-18,C001-AD01,C001,Facebook,1,0,0,0.0,R01,UK
